Node ID,X Coordinate,Y Coordinate,DOF ID
293,1.24455,0.3573,292
294,1.195106,0.429098,293
295,1.247553,0.404549,294
296,1.198769,0.464357,295
297,1.249384,0.452178,296
298,1.358333,0.,297
299,1.416667,0.,298
300,1.475,0.,299
301,1.533333,0.,300
302,1.591667,0.,301
303,1.65,0.,302
304,1.708333,0.,303
305,1.766667,0.,304
306,1.825,0.,305
307,1.883333,0.,306
308,1.941667,0.,307
309,2.,0.,308
310,2.,0.0666667,309
311,2.,0.133333,310
312,1.941667,0.133333,311
313,1.883333,0.133333,312
314,1.825,0.133333,313
315,1.766667,0.133333,314
316,1.708333,0.133333,315
317,1.65,0.133333,316
318,1.591667,0.133333,317
319,1.533333,0.133333,318
320,1.475,0.133333,319
321,1.416667,0.133333,320
322,1.358333,0.133333,321
323,1.941667,0.0666667,322
324,1.883333,0.0666667,323
325,1.825,0.0666667,324
326,1.766667,0.0666667,325
327,1.708333,0.0666667,326
328,1.65,0.0666667,327
329,1.591667,0.0666667,328
330,1.533333,0.0666667,329
331,1.475,0.0666667,330
332,1.416667,0.0666667,331
333,1.358333,0.0666667,332
334,0.7,0.133333,333
335,0.7,0.0666667,334
336,0.7,0.,335
337,0.7,0.44,336
338,0.7,0.38,337
339,0.7,0.32,338
340,0.7,0.26,339
341,1.06,0.,340
342,1.12,0.,341
343,1.18,0.,342
344,1.24,0.,343
345,1.24,0.133333,344
346,1.18,0.133333,345
347,1.12,0.133333,346
348,1.06,0.133333,347
349,1.24,0.0666667,348
350,1.18,0.0666667,349
351,1.12,0.0666667,350
352,1.06,0.0666667,351
353,0.641667,0.2,352
354,0.583333,0.2,353
355,0.525,0.2,354
356,0.466667,0.2,355
357,0.408333,0.2,356
358,0.35,0.2,357
359,0.291667,0.2,358
360,0.233333,0.2,359
361,0.175,0.2,360
362,0.116667,0.2,361
363,0.0583333,0.2,362
364,0.,0.2,363
365,0.76,0.,364
366,0.82,0.,365
367,0.88,0.,366
368,0.94,0.,367
369,0.94,0.133333,368
370,0.88,0.133333,369
371,0.82,0.133333,370
372,0.76,0.133333,371
373,0.94,0.0666667,372
374,0.88,0.0666667,373
375,0.82,0.0666667,374
376,0.76,0.0666667,375
377,0.641667,0.5,376
378,0.583333,0.5,377
379,0.525,0.5,378
380,0.466667,0.5,379
381,0.408333,0.5,380
382,0.35,0.5,381
383,0.291667,0.5,382
384,0.233333,0.5,383
385,0.175,0.5,384
386,0.116667,0.5,385
387,0.0583333,0.5,386
388,0.,0.5,387
389,0.976535,0.351847,388
390,0.953647,0.357342,389
391,0.931901,0.366349,390
392,0.911832,0.378647,391
393,0.893934,0.393934,392
394,0.878647,0.411832,393
395,0.866349,0.431901,394
396,0.857342,0.453647,395
397,0.851847,0.476535,396
398,0.952178,0.250616,397
399,0.964357,0.301231,398
400,0.904549,0.252447,399
401,0.929098,0.304894,400
402,0.8573,0.25545,401
403,0.894601,0.310899,402
404,0.810611,0.259549,403
405,0.861221,0.319098,404
406,0.764645,0.264645,405
407,0.829289,0.329289,406
408,0.759549,0.310611,407
409,0.819098,0.361221,408
410,0.75545,0.3573,409
